review_text,Is_Fake
Best sebab ayam crispy,FALSE
"Makanan memang sedap. Kena dengan selera. Ayam juicy, sambal pun meletopp. Banyak kali dah repeat",FALSE
"sedap. pedas cukup rasa, ayam besar",FALSE
The best ayam gepuk in Kerteh. Sambal ummpphh!!,FALSE
Good food.,FALSE
,FALSE
Kedai sejukkk and sangat santai nk makan gepuk kat sini.,FALSE
SEDAPPP BANYAK KALI DAH REPEAT!!! PEDAS BERAPI  TAPI KETAGIH MAKAN ,FALSE
"Makanan okey.yang tak okey
Waktu kedai buka tu perlu lah selari.datang kedai makan tak ready lagi.tapi bagi tau buka pukul 10....
Tapi datang buka 11.30",FALSE
Sedap & berbaloi. Berulang dah repeat,FALSE
,FALSE
Sedap,FALSE
Ramai kata sedap. dan memang sedap,FALSE
,FALSE
"Makanan sedap,ayam besar,sambal boleh tahan pedas dan nasi dan sambal boleh refill",FALSE
,FALSE
"Ayam besar, sambal pedas sampai tak keruan 
Kedai gam2, datang lak waktu lunch. Will come again ",FALSE
Sedap padu . Servis laju juga .,FALSE
"sedap . boleh kata 3 hari sekali dtg sini ,untuk makan sini , kalau dtg sini , padan duk dengar slogan "" rasa cinta ""  jee..hahahhaa...  adjust mainkan  lagu je  la wakk . x sakit telinga mana ,hahhaha",FALSE
Portion bnyk,FALSE
,FALSE
,FALSE
Makanan boleh tahan . Tapi chicken tenders agak keras sakit gigi makan dan service  kena  angkat pinggan dan cawan kite makan sdiri . Hotel 5star staff tolong angkat.,FALSE
Sedap dan family friendly.,FALSE
Delicious!,FALSE
"Makanan sedap
Service pun okey
Menang recommend makan sini",FALSE
"Ruang sempit...meja dgn meja lain terlalu rapat...makanan so2 je...portion n rasa xberbaloi dgn harga..mkanan anak saya delayed lama sgt..cuma 1 je yg bagus...dia ada sedia toys/games tuk main sementara tunggu makanan. 1st n last kut pergi sini...teringin nak makan lasagna,last2 pergi ada breadlasagna... je..dapat pulak mcm 1/2 keping roti je..chicken butter masin,carbonara spageti rasa susu je,menu kids nasi ayam n sup...tapi ayam pedas...nama nasi baby tapi ayam pedas anak saya xmakan..",FALSE
,FALSE
selesa,FALSE
I rarely leave any ratings on restaurants but...I ordered my food around 12.30 pm. Drinks were served after 15 mins. The first dish came at 1.30 pm. Still waiting for my second dish.,FALSE
mkn sedap tp serving food lmbt..,FALSE
,FALSE
,FALSE
"The cafe ambience is nice. Food taste, plating, portion, etc. is fair.
Need to improve on the cleanliness and hygiene of the cafe. The floor is quite dirty, the table cloth is dirty. It should be cleaned and changed daily. The hot coffee/latte is pricey as the portion is too small for the price. Thanks",FALSE
,FALSE
good and great ambience,FALSE
,FALSE
Cozy,FALSE
Love this place,FALSE
,FALSE
,FALSE
,FALSE
Bercuti Dr puchong hadir ke restoran ini kerana rating yang tinggi. smp ke Kedai jam 7.30 tggu hampir sejam baru diberitahu air yg di order dh abis itupun selepas follow up order kerana tidak sampai2..terpaksa order air yang lain Dan sampai air yang baru diorder semula dlm msa 10 minit kemudian..selepas hampir 1 jam 40 minit mknan yg sampia hanyalah nasi Dan sayur manakala ikan Dan sotong yang diorder tidak sampai2..semasa membuat bayaran di kaunter langsung tiada permohonan maaf Dari pihak restoran terhadap apa yang berlaku..amat kesal dengan kejadian ini kerana niat kami berkunjung ke restoran ini adalah untuk menikmati ikan bakar Dan sotong kerana rating tinggi yang telah diberikan..semoga pihak pemgurusan dapat menambahbaik kualiti yang sedia ada Dan tidak lagi mengecewakan pengunjung yang datang Dari jauh.,FALSE
,FALSE
Great food.. lots of variety and affordable,FALSE
,FALSE
Bolehlah.,FALSE
"really disappointed with my experience here! makanan lambat, sotong liat, service lambat. Imagine, I need to serve my food here by myself and the staff there didn't even appreciate it!? not even say sorry or what?!? please train your staff properly and do have common sense! kalau tau nak buat business jangan lepas tangan kat staff sahaja. at least, ajar staff untuk communicafe ngn customer jugak. kalau makanan tak available bagitahu awal, kalau ramai customer and need to wait lama, bagitahu customer! don't make us wait for nothing! sumpah bazir duit je makan sini! Sabar siap tolong staff situ lagi tau, cedok ais and angkat makanan lagi! still berkira!! tolong la baiki dulu system tu baru bukak balik kedai! kalau rasa tak de otak business tutup je dulu",FALSE
Apa yang korang merepek bagi rating tinggi ni? Servis tak bagus. Makanan sangat mahal. Tak sedap. Banyak lalat. Tak mau dtg lagi. Bye,FALSE
"Food sedap .
Sotong goreng tepung 9/10
Pari bakar  10/10",FALSE
poor,FALSE
harga n selera ngam bajet,FALSE
lokasi wajib singgah,FALSE
,FALSE
kedai ikan bakar paling berbaloi,FALSE
"Dtg lagi 8/8 mlm customer tak ramai, ikan bakar lambat. Makanan lain dah habis bedal. Harap boleh improve supaya customer luar boleh dtg tuk support",FALSE
,FALSE
,FALSE
"Really good place to get your lunch. Makanan pelbagai, lagi2 bab bakar2. Harga berpatutan compare dgn harga bandar.",FALSE
"Honestly, I expected more based on the reviews. The drinks were absolutely diluted and didn't feel worth the price. The food was also not as tasty as I hoped, especially considering the higher pricing.

To be honest, Cahaya Mesra Seafood Restaurant offers much better taste and value overall.

I'm not sure how others rated this place 4++ stars -- maybe I came on an off day, but I left feeling a bit frustrated with the experience.",FALSE
Makanan yang sedap. Suasana yang menarik. Staff yang mesra.,FALSE
